nFID, Class
1835, 0
1832, 0
1836, 0
1839, 0
1838, 0
1840, 0
1843, 0
1854, 0
1852, 0
1858, 0
1856, 0
1862, 0
1859, 0
1864, 0
1871, 0
1867, 0
1877, 0
1876, 0
1878, 0
1883, 0
1885, 0
1884, 0
1886, 0
1891, 0
1903, 0
1901, 0
1906, 0
5, 1
1, 1
2, 1
0, 1
10, 1
9, 1
8, 1
13, 1
15, 1
16, 1
18, 1
19, 1
20, 1
23, 1
22, 1
24, 1
27, 1
25, 1
26, 1
28, 1
29, 1
31, 1
30, 1
32, 1
33, 1
34, 1
35, 1
37, 1
40, 1
38, 1
39, 1
41, 1
44, 1
45, 1
47, 1
49, 1
53, 1
52, 1
54, 1
57, 1
55, 1
58, 1
61, 1
59, 1
60, 1
62, 1
63, 1
65, 1
64, 1
66, 1
67, 1
70, 1
68, 1
69, 1
74, 1
71, 1
72, 1
73, 1
77, 1
79, 1
80, 1
81, 1
82, 1
83, 1
84, 1
85, 1
88, 1
89, 1
97, 1
96, 1
95, 1
98, 1
99, 1
106, 1
103, 1
105, 1
104, 1
107, 1
113, 1
111, 1
112, 1
115, 1
118, 1
120, 1
121, 1
124, 1
125, 1
127, 1
129, 1
131, 1
134, 1
133, 1
135, 1
136, 1
139, 1
137, 1
138, 1
140, 1
143, 1
142, 1
144, 1
145, 1
149, 1
151, 1
150, 1
153, 1
155, 1
157, 1
164, 1
163, 1
169, 1
173, 1
174, 1
178, 1
176, 1
181, 1
180, 1
179, 1
182, 1
185, 1
188, 1
186, 1
187, 1
189, 1
195, 1
193, 1
196, 1
194, 1
199, 1
197, 1
201, 1
198, 1
200, 1
205, 1
204, 1
208, 1
206, 1
210, 1
207, 1
209, 1
211, 1
216, 1
219, 1
218, 1
220, 1
224, 1
222, 1
223, 1
226, 1
232, 1
230, 1
236, 1
233, 1
234, 1
239, 1
237, 1
240, 1
238, 1
241, 1
242, 1
245, 1
244, 1
247, 1
246, 1
250, 1
252, 1
249, 1
254, 1
251, 1
256, 1
253, 1
258, 1
257, 1
259, 1
265, 1
264, 1
267, 1
269, 1
268, 1
272, 1
270, 1
274, 1
273, 1
276, 1
275, 1
277, 1
282, 1
279, 1
280, 1
285, 1
283, 1
284, 1
289, 1
288, 1
291, 1
294, 1
296, 1
293, 1
295, 1
298, 1
300, 1
297, 1
299, 1
303, 1
301, 1
307, 1
308, 1
306, 1
318, 1
317, 1
319, 1
322, 1
321, 1
324, 1
323, 1
327, 1
325, 1
329, 1
326, 1
328, 1
331, 1
330, 1
336, 1
334, 1
337, 1
340, 1
338, 1
339, 1
341, 1
344, 1
345, 1
349, 1
347, 1
350, 1
348, 1
355, 1
352, 1
354, 1
357, 1
359, 1
358, 1
360, 1
361, 1
363, 1
366, 1
367, 1
365, 1
368, 1
374, 1
373, 1
375, 1
379, 1
377, 1
383, 1
384, 1
386, 1
392, 1
390, 1
394, 1
391, 1
395, 1
397, 1
401, 1
407, 1
411, 1
408, 1
413, 1
416, 1
419, 1
417, 1
425, 1
427, 1
428, 1
431, 1
436, 1
434, 1
438, 1
435, 1
443, 1
449, 1
447, 1
451, 1
450, 1
457, 1
456, 1
458, 1
462, 1
460, 1
465, 1
468, 1
470, 1
467, 1
469, 1
479, 1
476, 1
480, 1
486, 1
484, 1
485, 1
490, 1
487, 1
489, 1
491, 1
494, 1
493, 1
499, 1
497, 1
500, 1
498, 1
503, 1
501, 1
504, 1
506, 1
508, 1
512, 1
510, 1
513, 1
516, 1
518, 1
515, 1
517, 1
521, 1
522, 1
523, 1
527, 1
524, 1
529, 1
530, 1
536, 1
538, 1
540, 1
537, 1
539, 1
543, 1
544, 1
541, 1
542, 1
547, 1
551, 1
552, 1
555, 1
554, 1
556, 1
560, 1
558, 1
563, 1
568, 1
570, 1
569, 1
573, 1
571, 1
572, 1
579, 1
578, 1
583, 1
582, 1
585, 1
587, 1
586, 1
590, 1
588, 1
591, 1
589, 1
592, 1
596, 1
604, 1
605, 1
612, 1
613, 1
611, 1
618, 1
616, 1
622, 1
621, 1
620, 1
623, 1
624, 1
625, 1
632, 1
631, 1
634, 1
635, 1
639, 1
648, 1
653, 1
652, 1
656, 1
654, 1
655, 1
658, 1
664, 1
665, 1
671, 1
667, 1
670, 1
674, 1
673, 1
675, 1
679, 1
683, 1
680, 1
684, 1
690, 1
692, 1
688, 1
693, 1
695, 1
702, 1
705, 1
708, 1
706, 1
709, 1
707, 1
711, 1
713, 1
717, 1
718, 1
723, 1
720, 1
722, 1
727, 1
725, 1
726, 1
730, 1
729, 1
734, 1
735, 1
732, 1
733, 1
738, 1
737, 1
739, 1
740, 1
745, 1
742, 1
744, 1
746, 1
747, 1
752, 1
750, 1
751, 1
754, 1
761, 1
763, 1
762, 1
764, 1
765, 1
770, 1
771, 1
768, 1
769, 1
774, 1
772, 1
777, 1
780, 1
785, 1
789, 1
786, 1
788, 1
792, 1
796, 1
797, 1
794, 1
795, 1
802, 1
805, 1
803, 1
808, 1
810, 1
811, 1
815, 1
813, 1
814, 1
817, 1
819, 1
816, 1
818, 1
822, 1
820, 1
824, 1
825, 1
833, 1
836, 1
837, 1
841, 1
838, 1
845, 1
842, 1
846, 1
849, 1
847, 1
850, 1
854, 1
851, 1
853, 1
856, 1
855, 1
858, 1
857, 1
861, 1
859, 1
860, 1
865, 1
867, 1
869, 1
868, 1
871, 1
875, 1
873, 1
876, 1
872, 1
878, 1
879, 1
880, 1
882, 1
884, 1
888, 1
885, 1
886, 1
889, 1
891, 1
892, 1
894, 1
895, 1
896, 1
