average Silhouette Value = 0.676135

nFID			silhouette_val
0			-0.911552
1			-0.275777
2			-0.694340
3			0.910230
4			-0.589493
5			0.914725
6			-0.976304
7			-0.692959
8			-0.361446
9			0.635073
10			0.891763
11			0.843228
12			0.465833
13			-0.341358
14			0.910844
15			0.608589
16			-0.570992
17			-0.445694
18			-0.550194
19			-0.163075
20			-0.421571
21			-0.479834
22			-0.474797
23			-0.364569
24			0.911315
25			0.756064
26			0.890402
27			0.531138
28			-0.120619
29			-0.884896
30			0.296283
31			0.403223
32			-0.731813
33			0.909537
34			-0.524501
35			-0.665007
36			-0.140755
37			0.913183
38			-0.616138
39			0.501479
40			0.343681
41			0.594480
42			-0.500868
43			0.907578
44			0.466133
45			0.087316
46			0.907482
47			0.469273
48			0.804834
49			-0.551509
50			0.912161
51			0.914971
52			-0.980359
53			0.385532
54			0.911669
55			0.914752
56			0.908607
57			0.905209
58			0.516179
59			-0.537918
60			0.607192
61			0.118708
62			0.826374
63			-0.013608
64			0.910522
65			0.539736
66			-0.502223
67			0.643568
68			0.523291
69			0.835436
70			0.205850
71			0.912354
72			0.909835
73			0.314131
74			-0.231675
75			0.901360
76			0.864378
77			0.801015
78			0.233157
79			-0.110327
80			-0.619086
81			0.858007
82			0.505291
83			0.907504
84			0.910117
85			0.895105
86			0.867371
87			-0.081284
88			0.904113
89			0.912278
90			0.866468
91			0.916334
92			-0.484806
93			0.907824
94			0.901998
95			0.755177
96			0.904846
97			0.890657
98			0.909139
99			0.913016
100			0.286647
101			0.904738
102			0.911447
103			0.912687
104			0.915556
105			0.875364
106			-0.455433
107			0.907045
108			0.907898
109			0.901649
110			-0.569039
111			-0.047066
112			0.770845
113			0.859117
114			0.910496
115			0.293311
116			0.598136
117			0.888454
118			0.674972
119			-0.734583
120			0.905716
121			0.913924
122			0.910671
123			0.900758
124			0.861309
125			0.367879
126			0.917913
127			0.913266
128			0.908842
129			0.914290
130			0.842484
131			0.910797
132			0.914082
133			0.872610
134			0.639762
135			0.909874
136			-0.520315
137			0.833742
138			0.732515
139			0.908902
140			0.903391
141			0.905381
142			-0.555410
143			0.913565
144			-0.286376
145			0.762628
146			0.898726
147			0.913693
148			0.903268
149			0.913391
150			0.891400
151			0.870044
152			0.901732
153			0.908108
154			0.746739
155			0.473790
156			0.905079
157			0.909646
158			0.905771
159			0.472478
160			0.912496
161			0.878121
162			0.906544
163			0.877134
164			-0.227630
165			-0.383947
166			0.803810
167			-0.667297
168			0.887769
169			0.905921
170			0.296378
171			0.741571
172			0.447768
173			0.912439
174			0.843247
175			0.589978
176			0.616831
177			0.911225
178			0.711648
179			0.909105
180			0.885870
181			0.915980
182			0.908642
183			0.739160
184			0.254305
185			-0.248500
186			0.897972
187			-0.257898
188			0.761348
189			0.871650
190			0.199446
191			0.365650
192			0.912068
193			-0.996116
194			-0.210373
195			0.909547
196			0.570052
197			0.881812
198			-0.282878
199			0.908265
200			0.907784
201			-0.120775
202			0.902361
203			0.913451
204			0.161498
205			0.912372
206			0.894950
207			0.913476
208			0.895692
209			0.914660
210			0.915073
211			0.404766
212			0.912807
213			0.900638
214			0.257828
215			0.857191
216			0.891026
217			0.885895
218			0.804895
219			-0.694902
220			0.906915
221			0.809535
222			-0.134997
223			-0.225403
224			0.903184
225			-0.184301
226			0.423517
227			0.791287
228			0.904327
229			0.903538
230			0.789474
231			0.185971
232			-0.445066
233			0.603461
234			0.910302
235			0.433508
236			0.889711
237			0.429243
238			0.908775
239			0.912554
240			0.814164
241			0.661575
242			0.908382
243			0.692756
244			-0.044533
245			-0.171820
246			0.884471
247			0.917684
248			0.908647
249			0.880556
250			0.911085
251			0.916521
252			0.619222
253			0.485743
254			0.903007
255			0.830256
256			0.913730
257			0.843926
258			0.813857
259			0.431695
260			0.867383
261			0.884081
262			-0.203716
263			0.657876
264			0.913766
265			0.445688
266			0.912048
267			0.449415
268			0.913247
269			0.911998
270			0.912474
271			0.501676
272			0.916504
273			0.915388
274			0.887035
275			0.671398
276			0.911581
277			0.913196
278			0.909140
279			0.908489
280			0.864789
281			0.236413
282			0.907515
283			0.762109
284			0.801122
285			0.913093
286			0.596809
287			0.860014
288			0.911102
289			0.902927
290			0.494279
291			0.399488
292			0.028645
293			-0.513299
294			0.766790
295			0.597876
296			0.917790
297			0.909674
298			-0.256241
299			0.874895
300			0.662832
301			0.853975
302			0.891029
303			0.529510
304			0.808108
305			0.913107
306			0.280994
307			0.914349
308			0.803211
309			0.803220
310			0.808898
311			0.808350
312			0.904942
313			0.906563
314			0.906026
315			0.906485
316			0.881975
317			0.912626
318			0.910478
319			0.909894
320			-0.116975
321			0.914776
322			-0.340291
323			0.912991
324			0.874358
325			0.910036
326			0.913209
327			-0.320549
328			0.828078
329			-0.333775
330			0.912081
331			0.883729
332			0.824629
333			0.808729
334			0.892886
335			0.904715
336			0.906681
337			0.857978
338			0.691499
339			0.539845
340			0.907367
341			0.808605
342			0.840948
343			0.917635
344			-0.067295
345			0.913996
346			0.912331
347			0.843901
348			0.881064
349			0.913606
350			0.916300
351			0.792768
352			0.699490
353			0.908265
354			0.915865
355			0.917985
356			0.876342
357			0.910198
358			0.914019
359			0.542516
360			0.907929
361			-0.580631
362			0.907966
363			0.830835
364			0.721203
365			0.656806
366			0.894101
367			-0.313160
368			-0.376281
369			0.898191
370			0.909809
371			0.428134
372			0.902336
373			0.407619
374			0.910457
375			0.768272
376			0.670497
377			0.917759
378			0.910392
379			0.911672
380			-0.297795
381			0.900180
382			-0.120564
383			0.867275
384			0.907187
385			0.766300
386			0.427831
387			-0.308886
388			0.898163
389			0.913387
390			0.900677
391			0.342322
392			0.695667
393			0.870061
394			-0.370536
395			0.920964
396			0.638105
397			0.904061
398			0.889310
399			0.912434
400			0.905779
401			0.911406
402			0.900973
403			0.913984
404			0.123297
405			0.911288
406			0.905782
407			0.780396
408			0.721304
409			0.518673
410			0.755412
411			0.878596
412			0.901804
413			-0.518060
414			0.911043
415			0.868996
416			-0.468305
417			0.907509
418			0.594260
419			0.912850
420			0.898243
421			0.657399
422			0.911347
423			0.604015
424			0.902434
425			0.567356
426			0.886939
427			0.911411
428			0.889042
429			0.901987
430			0.896880
431			0.870548
432			0.909223
433			0.903728
434			0.909498
435			0.911046
436			0.909858
437			0.898749
438			0.911285
439			0.906462
440			0.898752
441			0.829971
442			0.899877
443			0.913784
444			0.706143
445			0.759726
446			0.909141
447			0.879067
448			0.891608
449			0.913071
450			0.896672
451			0.910139
452			0.901792
453			0.887549
454			-0.640245
455			-0.208607
456			0.775681
457			0.912447
458			0.908179
459			0.683437
460			0.916355
461			0.728737
462			-0.981654
463			-0.154970
464			0.916363
465			0.912420
466			0.905115
467			0.911228
468			0.898857
469			0.911598
470			0.915216
471			0.595058
472			0.899775
473			0.892269
474			0.617322
475			0.907602
476			0.577670
477			0.894002
478			0.908987
479			0.901197
480			0.901839
481			0.905744
482			0.896841
483			0.273687
484			0.315826
485			0.909797
486			0.455793
487			0.909364
488			0.900950
489			0.887776
490			0.636979
491			0.875331
492			0.911004
493			0.902387
494			0.898856
495			0.627283
496			0.834798
497			0.808648
498			0.810379
499			0.907709
500			0.816420
501			0.782116
502			0.271405
503			0.898720
504			0.817811
505			0.906657
506			-0.227809
507			0.879056
508			0.910843
509			0.908861
510			0.910163
511			0.892939
512			0.894800
513			0.633431
514			0.902163
515			0.913923
516			0.916770
517			0.900465
518			0.920203
519			0.874357
520			0.901874
521			0.911261
522			0.793097
523			0.910448
524			0.688948
525			0.422561
526			-0.175495
527			0.830079
528			0.818149
529			0.838978
530			0.886972
531			0.348922
532			0.606079
533			0.859500
534			-0.512108
535			0.825982
536			0.849550
537			0.906275
538			0.652747
539			0.477152
540			0.907286
541			0.373471
542			0.913259
543			0.873632
544			0.910335
545			0.904922
546			0.903379
547			-0.013796
548			0.904427
549			0.051570
550			0.913164
551			-0.326192
552			0.857845
553			0.877578
554			0.769191
555			0.908017
556			0.639137
557			0.282656
558			0.889612
559			0.911642
560			0.247527
561			0.900792
562			0.900496
563			0.506156
564			0.916168
565			0.907152
566			0.806228
567			0.889972
568			0.232717
569			0.890811
570			-0.552529
571			0.908177
572			0.895800
573			0.916456
574			0.904480
575			0.804854
576			0.881516
577			0.900719
578			0.912109
579			0.465628
580			0.606713
581			0.606583
582			0.754373
583			0.898111
584			0.909845
585			0.904288
586			0.910344
587			0.777903
588			0.788325
589			0.913850
590			0.740741
591			0.907878
592			0.920473
593			0.909012
594			0.514380
595			0.921208
596			0.914446
597			-0.349163
598			0.861803
599			0.903743
600			0.903160
601			-0.247348
602			0.905282
603			0.521023
604			0.910517
605			0.845994
606			0.909905
607			0.414871
608			0.898366
609			0.842590
610			0.065657
611			0.912114
612			0.914216
613			0.885947
614			0.896288
615			0.905988
616			0.734939
617			0.906000
618			0.912566
619			0.909589
620			0.874880
621			0.718994
622			0.892825
623			0.863487
624			0.787659
625			0.772072
626			0.899963
627			0.887887
628			0.872019
629			0.335120
630			0.807557
631			0.915465
632			0.912381
633			0.594042
634			0.858590
635			0.292200
636			0.828905
637			0.546802
638			0.904665
639			0.730786
640			-0.272471
641			0.853779
642			0.871476
643			0.622407
644			0.899444
645			0.598521
646			0.813557
