nIteration		silhouette_value
448		0.509876
449		0.633731
450		0.603640
451		0.545586
452		0.632373
453		0.464591
454		0.621955
455		0.555801
456		0.647804
457		0.474441
458		0.621983
459		0.567537
460		0.652616
461		0.647785
462		0.532911
463		0.637100
464		0.628326
465		0.619096
466		0.446992
467		0.628440
468		0.269410
469		0.639301
470		0.491415
471		0.666842
472		0.457345
473		0.501056
474		0.650928
475		0.648639
476		0.648125
477		0.512571
478		0.520759
479		0.449260
480		0.614556
481		0.591678
482		0.626700
483		0.552796
484		0.542802
485		0.397779
486		0.565034
487		0.604058
488		0.101209
489		0.171051
490		0.552280
491		0.533638
492		0.403406
493		0.515704
494		0.505482
495		0.330326
496		0.491743
497		-0.006881
498		0.509105
499		0.221409
500		0.583369
