average Silhouette Value = 0.233634

nFID			silhouette_val
445			0.444166
446			0.415887
447			0.144137
448			0.143912
449			0.324557
450			0.050913
451			0.238257
452			0.529064
453			0.135295
454			-0.132922
455			0.443070
456			0.432001
457			0.376096
458			0.081560
459			0.223385
460			-0.019632
461			0.168942
462			0.073328
463			0.140074
464			0.142458
465			0.122446
466			0.341985
467			0.284511
468			0.053276
469			0.383231
470			0.317253
471			0.382930
472			0.551822
473			0.343088
474			0.430179
475			0.017276
476			0.083530
477			0.110454
478			0.099806
479			-0.051902
480			0.193126
481			0.487639
482			0.431003
483			0.213654
484			0.199915
485			0.249918
486			-0.123242
487			0.406713
488			0.350925
489			0.217114
490			-0.152647
491			0.004258
492			0.197179
493			0.077208
494			0.368575
495			0.564958
496			0.316906
497			0.318324
498			0.326674
499			0.116778
500			0.246510
501			0.052521
502			-0.061293
503			0.037774
504			0.101217
505			0.340252
506			0.091239
507			0.245967
508			0.158945
509			0.113456
510			0.047755
511			0.316449
512			0.096770
513			0.309892
514			0.523822
515			0.357524
516			0.064716
517			0.305068
518			0.139786
519			0.269767
520			0.501933
521			0.315029
522			0.479037
523			0.210164
524			0.226826
525			0.175245
526			0.489560
527			0.006182
528			0.410679
529			0.308025
530			0.088643
531			0.383440
532			-0.208054
533			-0.133413
534			0.494558
535			0.436382
536			0.293763
537			0.311087
538			0.037783
539			0.025269
540			0.219752
541			0.059532
542			0.364478
543			0.090997
544			0.156414
545			0.376197
546			0.440423
547			0.382826
548			0.399527
549			0.164261
550			-0.049326
551			0.336028
552			0.144897
553			-0.341807
554			0.070255
555			0.118254
556			0.198529
557			-0.199926
558			0.203426
559			0.082172
560			0.004704
561			0.168451
562			0.467399
563			0.453644
564			-0.086377
565			0.421521
566			-0.183336
567			0.232221
568			0.092325
569			0.335093
570			0.343746
571			0.178893
572			0.132381
573			0.455870
574			0.290823
575			0.557728
576			0.204908
577			0.371511
578			0.211329
579			-0.000025
580			-0.166515
581			-0.112170
582			0.370804
583			0.399261
584			-0.013544
585			0.371606
586			-0.056651
587			0.282935
588			0.105342
589			0.410866
590			0.115068
591			0.221879
592			0.398969
593			0.161206
594			-0.144807
595			0.096493
596			0.449251
597			0.416468
598			0.028288
599			0.202605
600			0.303406
601			-0.213182
602			0.093102
603			0.166128
604			-0.032909
605			0.196666
606			-0.052658
607			-0.215163
608			0.083853
609			-0.200788
610			0.469059
611			0.136353
612			0.418919
613			0.254106
614			-0.195267
615			0.502972
616			0.220924
617			0.140918
618			0.067261
619			0.165920
620			0.204389
621			-0.229321
622			0.235944
623			0.301159
624			0.208226
625			0.304247
626			0.010415
627			0.121877
628			0.508332
629			0.251636
630			0.190106
631			0.244319
632			0.452663
633			0.233748
634			0.275954
635			0.263529
636			0.374030
637			0.256050
638			0.209973
639			0.484983
640			0.239188
641			0.061124
642			0.208891
643			0.148268
644			0.381426
645			-0.363233
646			0.221904
647			0.070707
648			0.247253
649			0.246626
650			0.027320
651			0.207925
652			0.110712
653			0.254425
654			0.114627
655			0.460270
656			0.036130
657			0.120758
658			-0.009458
659			0.156682
660			0.204123
661			0.052587
662			0.124689
663			0.282686
664			0.034800
665			0.396111
666			0.199326
667			0.015445
668			0.408997
669			0.474219
670			0.188560
671			-0.524740
672			0.402148
673			0.209609
674			0.178232
675			0.017441
676			0.513829
677			0.419587
678			0.271654
679			0.340903
680			0.383280
681			0.364615
682			0.089832
683			-0.009365
684			0.334954
685			0.180502
686			0.349652
687			0.444762
688			0.019582
689			0.384970
690			0.270680
691			0.242780
692			0.193291
693			0.184757
694			0.213305
695			0.373405
696			0.203911
697			0.081923
698			0.499887
699			0.445369
700			0.263583
701			-0.610710
702			0.137268
703			0.360816
704			0.138940
705			0.089981
706			0.298248
707			0.291902
708			0.127606
709			0.307014
710			0.231239
711			0.460381
712			-0.158816
713			0.424880
714			0.390595
715			0.133135
716			0.120940
717			0.073213
718			-0.034811
719			0.390095
720			-0.039251
721			0.086271
722			0.215745
723			0.147349
724			0.250990
725			0.151243
726			0.003299
727			0.150498
728			0.287958
729			-0.043302
730			0.262194
731			0.499471
732			0.142339
733			0.335663
734			0.052752
735			0.382028
736			0.092969
737			0.478047
738			0.266871
739			-0.491976
740			0.120595
741			0.519321
742			0.341003
743			-0.305535
744			0.226360
745			0.314400
746			0.280130
747			0.382809
748			0.528724
749			0.310857
750			0.427653
751			0.394798
752			0.135091
753			0.410348
754			0.455991
755			0.415829
756			0.429392
757			0.416885
758			0.218238
759			0.164191
760			0.325314
761			0.092063
762			0.370843
763			0.375803
764			0.269751
765			0.306542
766			0.344111
767			0.478339
768			0.018645
769			0.323185
770			0.184496
771			0.479572
772			0.323465
773			0.403030
774			0.108450
775			-0.208300
776			0.362315
777			0.176698
778			0.165660
779			-0.150353
780			0.227214
781			0.093969
782			0.328837
783			0.088188
784			0.410968
785			0.064570
786			0.284420
787			0.064308
788			0.055587
789			0.295949
790			0.263061
791			0.344697
792			0.225503
793			0.076309
794			0.170751
795			0.053856
796			0.233266
797			0.082457
798			0.500409
799			0.447501
800			0.538514
801			0.393483
802			0.275356
803			0.114713
804			0.457074
805			0.080356
806			-0.334268
807			0.503254
808			0.166594
809			0.312221
810			-0.002553
811			0.245983
812			0.132437
813			-0.084858
814			0.015809
