nFID, Class
1302, 0
1303, 0
1308, 0
1305, 0
1311, 0
1312, 0
1314, 0
1315, 0
1319, 0
1322, 0
1329, 0
1331, 0
1332, 0
1333, 0
1334, 0
1337, 0
1338, 0
1340, 0
1342, 0
1347, 0
1349, 0
1357, 0
1361, 0
1362, 0
1363, 0
1367, 0
1368, 0
1373, 0
1374, 0
1378, 0
1386, 0
1387, 0
1391, 0
1392, 0
1397, 0
1398, 0
1401, 0
1405, 0
1407, 0
1409, 0
1410, 0
1412, 0
1413, 0
1414, 0
1417, 0
1418, 0
1421, 0
1423, 0
1424, 0
1426, 0
1428, 0
1430, 0
1432, 0
1433, 0
1434, 0
1435, 0
1436, 0
1437, 0
1438, 0
1439, 0
1440, 0
1441, 0
1442, 0
1445, 0
1443, 0
1444, 0
1454, 0
1452, 0
1453, 0
1455, 0
1456, 0
1457, 0
1458, 0
1459, 0
1461, 0
1462, 0
1465, 0
1466, 0
1467, 0
1468, 0
1469, 0
1470, 0
1473, 0
1475, 0
1480, 0
1482, 0
1487, 0
1488, 0
1491, 0
1492, 0
1495, 0
1497, 0
1498, 0
1501, 0
1511, 0
1512, 0
1515, 0
1516, 0
1518, 0
1519, 0
1520, 0
1522, 0
1523, 0
1525, 0
1526, 0
1528, 0
1530, 0
1532, 0
1534, 0
1536, 0
1537, 0
1538, 0
1540, 0
1541, 0
1543, 0
1544, 0
1545, 0
1546, 0
1548, 0
1549, 0
1550, 0
1553, 0
1554, 0
1557, 0
1559, 0
1566, 0
1572, 0
1573, 0
1574, 0
1575, 0
1576, 0
1577, 0
1579, 0
1582, 0
1583, 0
1584, 0
1588, 0
1591, 0
1602, 0
1603, 0
1604, 0
1605, 0
1606, 0
1608, 0
1609, 0
1610, 0
1612, 0
1620, 0
1622, 0
1623, 0
1626, 0
1627, 0
1629, 0
1625, 0
1640, 0
1641, 0
1644, 0
1647, 0
1648, 0
1649, 0
1656, 0
1658, 0
1659, 0
1660, 0
1665, 0
1666, 0
1667, 0
1671, 0
1673, 0
1675, 0
1676, 0
1677, 0
1678, 0
1679, 0
1680, 0
1681, 0
1682, 0
1683, 0
1687, 0
1690, 0
1693, 0
1694, 0
1695, 0
1696, 0
1703, 0
1705, 0
1706, 0
1708, 0
1709, 0
1710, 0
1711, 0
1713, 0
1716, 0
1718, 0
1720, 0
1722, 0
1723, 0
1724, 0
1726, 0
1728, 0
1729, 0
1730, 0
1735, 0
1739, 0
1741, 0
1743, 0
1744, 0
1745, 0
1746, 0
1747, 0
1748, 0
1749, 0
1752, 0
1753, 0
1757, 0
1759, 0
1760, 0
1761, 0
1763, 0
1764, 0
1765, 0
1768, 0
1769, 0
1771, 0
1772, 0
1773, 0
1776, 0
1777, 0
1780, 0
1781, 0
1783, 0
1787, 0
1788, 0
1791, 0
1792, 0
1797, 0
1798, 0
1801, 0
1802, 0
1803, 0
1805, 0
1806, 0
1813, 0
1808, 0
1810, 0
1811, 0
1812, 0
532, 0
1816, 0
1822, 0
1823, 0
1825, 0
1826, 0
1828, 0
1830, 0
1831, 0
1835, 0
1838, 0
1842, 0
1846, 0
1848, 0
1851, 0
1853, 0
1860, 0
1861, 0
1863, 0
1865, 0
1868, 0
1869, 0
1870, 0
1872, 0
1873, 0
1875, 0
1880, 0
1882, 0
1887, 0
1888, 0
1890, 0
1893, 0
1894, 0
1895, 0
1896, 0
1897, 0
1898, 0
1899, 0
1900, 0
1902, 0
1904, 0
1905, 0
1814, 0
2, 1
1, 1
0, 1
14, 1
12, 1
17, 1
21, 1
43, 1
46, 1
51, 1
56, 1
92, 1
103, 1
108, 1
114, 1
116, 1
132, 1
147, 1
152, 1
153, 1
158, 1
162, 1
165, 1
166, 1
168, 1
191, 1
192, 1
228, 1
229, 1
243, 1
290, 1
316, 1
320, 1
332, 1
333, 1
342, 1
348, 1
362, 1
370, 1
372, 1
376, 1
382, 1
387, 1
393, 1
398, 1
412, 1
418, 1
426, 1
445, 1
446, 1
448, 1
450, 1
471, 1
483, 1
492, 1
509, 1
525, 1
528, 1
531, 1
535, 1
548, 1
562, 1
597, 1
599, 1
603, 1
610, 1
615, 1
638, 1
647, 1
649, 1
657, 1
659, 1
660, 1
682, 1
685, 1
689, 1
694, 1
703, 1
699, 1
710, 1
715, 1
716, 1
720, 1
721, 1
728, 1
748, 1
749, 1
753, 1
755, 1
757, 1
759, 1
766, 1
767, 1
773, 1
782, 1
784, 1
790, 1
791, 1
799, 1
809, 1
829, 1
830, 1
843, 1
844, 1
848, 1
852, 1
862, 1
863, 1
873, 1
877, 1
883, 1
890, 1
887, 1
897, 1
898, 1
900, 1
926, 1
930, 1
933, 1
935, 1
941, 1
949, 1
952, 1
964, 1
972, 1
983, 1
989, 1
993, 1
998, 1
1008, 1
1018, 1
1021, 1
1023, 1
1026, 1
1029, 1
1034, 1
1039, 1
1040, 1
1048, 1
1050, 1
1080, 1
1091, 1
1093, 1
1113, 1
1116, 1
1122, 1
1130, 1
1133, 1
1138, 1
1142, 1
1147, 1
1169, 1
1174, 1
