nFID, Class
1948, 0
1949, 0
1950, 0
1951, 0
1953, 0
1957, 0
1963, 0
1964, 0
1965, 0
1966, 0
1967, 0
1968, 0
1994, 0
1997, 0
2000, 0
2001, 0
2002, 0
2005, 0
2006, 0
2007, 0
2014, 0
2015, 0
2034, 0
2035, 0
2036, 0
2037, 0
2040, 0
2041, 0
2043, 0
2046, 0
2047, 0
2049, 0
2054, 0
2059, 0
2060, 0
2062, 0
2064, 0
2066, 0
2067, 0
2068, 0
2069, 0
2071, 0
2070, 0
2072, 0
2073, 0
2074, 0
2075, 0
2076, 0
2077, 0
2078, 0
2079, 0
2080, 0
2081, 0
2082, 0
2083, 0
2084, 0
2085, 0
2086, 0
2087, 0
2088, 0
2089, 0
2090, 0
2092, 0
2093, 0
2094, 0
2095, 0
2096, 0
2097, 0
2099, 0
2100, 0
2101, 0
2102, 0
2103, 0
2107, 0
2104, 0
2105, 0
2106, 0
2110, 0
2108, 0
2109, 0
2114, 0
2111, 0
2112, 0
2113, 0
2117, 0
2115, 0
2116, 0
2121, 0
2118, 0
2119, 0
2120, 0
2124, 0
2122, 0
2123, 0
2125, 0
2128, 0
2126, 0
2127, 0
2132, 0
2129, 0
2130, 0
2131, 0
2135, 0
2134, 0
2136, 0
2177, 0
2182, 0
2179, 0
2180, 0
2181, 0
2184, 0
2185, 0
2186, 0
2187, 0
2190, 0
2196, 0
2193, 0
2194, 0
2195, 0
2199, 0
2200, 0
2201, 0
2202, 0
2205, 0
2213, 0
2212, 0
2229, 0
2230, 0
2232, 0
2233, 0
2228, 0
2234, 0
2235, 0
2237, 0
2242, 0
2243, 0
2244, 0
2246, 0
2245, 0
2251, 0
2247, 0
2248, 0
2253, 0
2249, 0
2250, 0
2252, 0
2256, 0
2254, 0
2255, 0
2257, 0
2258, 0
2260, 0
2259, 0
2265, 0
2261, 0
2262, 0
2263, 0
2264, 0
2267, 0
2266, 0
2272, 0
2268, 0
2269, 0
2271, 0
2273, 0
2290, 0
2292, 0
2296, 0
2302, 0
2303, 0
2305, 0
2306, 0
2308, 0
2314, 0
2309, 0
2310, 0
2313, 0
2315, 0
2316, 0
2317, 0
2321, 0
2318, 0
2319, 0
2320, 0
2324, 0
2323, 0
2330, 0
2335, 0
2331, 0
2333, 0
2342, 0
2340, 0
2343, 0
2349, 0
2354, 0
2355, 0
2353, 0
2366, 0
2369, 0
2373, 0
2371, 0
2376, 0
2380, 0
2382, 0
2383, 0
2388, 0
2385, 0
2386, 0
2391, 0
2389, 0
2403, 0
2401, 0
2405, 0
2404, 0
2406, 0
2407, 0
2408, 0
2409, 0
2411, 0
2414, 0
2419, 0
2424, 0
2421, 0
2420, 0
2422, 0
2423, 0
2426, 0
2425, 0
2431, 0
2427, 0
2428, 0
2429, 0
2452, 0
2449, 0
2450, 0
2454, 0
2453, 0
2458, 0
2456, 0
2461, 0
2459, 0
2460, 0
2462, 0
2464, 0
2468, 0
2466, 0
2467, 0
2472, 0
2470, 0
2471, 0
2476, 0
2473, 0
2474, 0
2475, 0
2479, 0
2478, 0
2483, 0
2480, 0
2482, 0
2484, 0
2485, 0
2487, 0
2488, 0
2497, 0
2496, 0
2495, 0
2500, 0
2498, 0
2499, 0
2507, 0
